שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
יתברך,מטבח אתיופי,דרום,אשדוד,קיבוץ גלויות 3,08-6759186,מסעדה,בשרים,"א-ה: 12:00-22:30
שישי: 09:00-14:00
שבת: שעה ממוצ""ש-22:30",,N,,N,N,31.806012,34.652997
קפה קפה ,בית קפה,צפון,טמרה,טמרה,04-6574014,בית קפה,בית קפה,"א-ה: 07:30-24:00
שישי: 07:30-24:00
שבת: 07:30-24:00",,Y,www.cafecafe.co.il,N,N,32.857397,35.170993
Gelate Ice,גלידרייה,מרכז,שוהם,עמק איילון 30,,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 07:00-23:00
שישי: 07:00-כניסת שבת
שבת: מוצ""ש-לקוח אחרון",כשר,Y,,N,N,31.999098,34.946268
מן האדמה-דוכן קניון אורות,מעדניה,צפון,אור עקיבא,"הנשיא 1, קניון אורות",,מעדניה,חלבי,"א-ה: פתוח בימי שישי בלבד
שישי: 08:00-15:00
שבת: ",,N,manhaadama.co.il,N,N,32.519052,34.947467
בית הפנקייק TLV,בית הפנקייק TLV,מרכז,תל אביב - יפו,"התערוכה 3 נמל ת""א",03-5083611,מסעדה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: ימים א'-ד': 10:00-22:00, יום ה': 10:00-00:00
שישי: 09:00-00:00
שבת: 09:00-00:00",,Y,www.pancake.co.il,Y,N,32.097244,34.775646
קפה קפה,בית קפה,צפון,כפר יאסיף,כפר יאסיף,04-6468827,בית קפה,בית קפה,"א-ה: 08:00-24:00
שישי: 08:00-24:00
שבת: 08:00-24:00",,Y,,N,N,31.252584,34.846767
פסטה לוקו,מסעדת שף איטלקית כשרה,צפון,חדרה,הלל יפה 21,04-6936305,מסעדה,"איטלקי,דגים,חלבי","א-ה: 09:30-22:00
שישי: 09:00-14:00
שבת: סגור",כשר,Y,www.pastaloco.com/,N,N,32.436919,34.917014
קפה קפה,בית קפה,צפון,מזרע,מפגש מזרע,04-6706040,בית קפה,בית קפה,"א-ה: 08:00-24:30
שישי: 08:00-24:30
שבת: 08:00-24:30",,N,,N,N,32.983651,35.098915
ג'וני קריספי,סנדוויץ בר/סלטים,שרון,הרצליה,שד' אבא אבן 18,,מסעדה,"בשרים,כריכים-סלטים","א-ה: 11:00-24:00
שישי: סגור
שבת: מוצ""ש-24:00",כשר,Y,www.johnnycrispy.com,N,N,32.162637,34.807204
רפאלו קריון,מסעדה איטלקית,צפון,קריית ביאליק,דרך עכו 192,6632*,מסעדה,איטלקי,"א-ה: 09:00-24:00
שישי: 09:00-שעה לכניסת שבת
שבת: מוצ""ש-24:00",כשר,Y,,N,N,32.843348,35.090841
מינה טומאי,אסיאתי,צפון,קריית ביאליק,"קניון קריון, דרך עכו 192",2750*,מסעדה,סושי-אסייאתי,"א-ה: 11:00-24:00
שישי: 11:00-01:00
שבת: 11:00-01:00",,Y,,Y,N,32.843348,35.090841
כאמל,בר מסעדה ממוקם על חוף הים,צפון,חיפה,דוד אלעזר 10,04-8522990,מסעדה,מזרחי,"א-ה: 09:00-02:00
שישי: 08:00-03:00
שבת: 08:00-03:00",,N,,N,N,32.806201,34.957298
"קרנף-סינמה סיטי ראשל""צ","אוכל בשרי מהיר, טרי, טעים ובריא",מרכז,ראשון לציון,ילדי טהרן 3 - סינמה סיטי,03-9414461,מסעדה,"בשרים,כריכים-סלטים","א-ה: 11:00-23:00
שישי: 11:00-24:00
שבת: 11:00-24:00",,Y,karnaf.com,N,N,31.983961,34.770877
קרנף-אבן גבירול,"אוכל בשרי מהיר, טרי, טעים ובריא",מרכז,תל אביב - יפו,אבן גבירול 164,03-5468179,מסעדה,"בשרים,כריכים-סלטים","א-ה: 11:30-04:30
שישי: 11:30-04:30
שבת: 11:30-04:30",,Y,karnaf.com,N,N,32.090671,34.782924
קרנף,"אוכל בשרי מהיר, טרי, טעים ובריא",שרון,רמת השרון,סוקולוב 72,03-5490049,מסעדה,"בשרים,כריכים-סלטים","א-ה: 11:00-24:00
שישי: 11:00-24:00
שבת: 11:00-24:00",כשר,N,,N,N,32.146091,34.838751
בוקריה,מסעדת בראנצ'ים וארוחות בוקר,מרכז,פתח תקווה,רבין 17 (Y סנטר),03-7444760,מסעדה,"בית קפה,חלבי,צמחוני-טבעוני","א-ה: 10:00-24:00
שישי: 09:00-15:30
שבת: שעה ממוצ""ש-לקוח אחרון",כשר,Y,bokeria.co.il,N,N,32.087999,34.861165
אונזה,מסעדת שף ישראלית,מרכז,תל אביב - יפו,"רבי חנינא 3, שוק הפשפשים",03-6486060,מסעדה,"בר-פאב,בשרים,ים תיכוני,מזרחי","א-ה: 18:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,onza.co.il,N,N,32.053008,34.755683
משייה,מסעדת שף (לשעות הפעילות יש להתעדכן באתר המסעדה),מרכז,תל אביב - יפו,מנדלי מוכר ספרים 5,03-7500999,מסעדה,"בשרים,דגים,מזרחי,מתוקים-קינוחים","א-ה: 09:30-23:00
שישי: 09:30-15:00, 17:00-23:00
שבת: 12:30-15:00, 18:15:-23:00",,Y,mashya.co.il,N,N,32.079344,34.768773
מיזאקי,אוכל רחוב יפני,מרכז,תל אביב - יפו,מתחם שרונה,03-8009999,מסעדה,סושי-אסייאתי,"א-ה: 11:30-22:00
שישי: 
שבת: 11:30-22:00",,Y,www.miazaki.co.il,N,N,32.073111,34.788325
קפה קפה ,בית קפה-חלבי כשר,שרון,נתניה,חוף סירונית,09-7444104,בית קפה,בית קפה,"א-ה: 07:30-24:00
שישי: 08:00-1530
שבת: מוצ""ש-24:00",כשר,Y,,N,N,32.330655,34.848237
קפה רוטשילד ,בית קפה,צפון,חיפה,"ששת הימים 1, טירת הכרמל",04-6112295,בית קפה,בית קפה,"א-ה: 08:00-לקוח אחרון
שישי: 08:00-שעה לכניסת השבת
שבת: שעה ממוצ""ש-לקוח אחרון",כשר למהדרין,Y,,N,N,32.825688,35.070509
פרוזדור,מסעדת המבורגרים,מרכז,תל אביב - יפו,מנדלי מוכר ספרים 6,03-5233223,מסעדה,בשרים,"א-ה: 12:00-24:00 לא כולל עסקיות לא כולל טייק וואי
שישי: 12:00-24:00 לא כולל עסקיות לא כולל טייק וואי
שבת: 12:00-24:00 לא כולל עסקיות לא כולל טייק וואי",,N,www.prozdor.co.il,N,N,32.079159,34.768531
ג'וני קריספי,סנדויץ בר בשרים/סלטים,אילת,אילת,דרך יותם 2/24,08-9455655,מסעדה,בשרים,"א-ה: 10:00-05:00
שישי: 10:00-05:00
שבת: 10:00-05:00",,Y,www.johnnycrispy.com/,N,N,29.551377,34.952608
ביגה ,בית קפה  מסעדה חלבית ,שרון,כפר סבא,רפפורט 3 קניון כפר סבא הירוקה,09-8996221,מסעדה,"בית קפה,חלבי","א-ה: 08:00-23:00
שישי: 08:00- שעתיים לפני כניסת שבת
שבת: מצאת השבת - 23:00",כשר,Y,biga-bakery.co.il,N,N,32.192452,34.891902
קפה נמרוד ,מסעדה גלילית,מרכז,תל אביב - יפו,מתחם שרונה,03-6721344,בית קפה,"בית קפה,חלבי","א-ה: 08:00-לקוח אחרון
שישי: 08:00- לקוח אחרון
שבת: 08:00- לקוח אחרון",,Y,cafenimrod.com,N,N,32.072900,34.786662
קפה גרג ,בית קפה ,שרון,כפר סבא,ויצמן 207,09-7671683,בית קפה,סושי-אסייאתי,"א-ה: 08:00-22:30
שישי: 08:00-15:30
שבת: 18:00-23:00",,Y,www.gregcafe.co.il,N,N,32.171698,34.927919
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה ",צפון,חיפה,גרנד קניון (ללא עסקיות 2eat ילדים ולילה),04-8422400,מסעדה,בשרים,"א-ה: 12:00- לקוח אחרון
שישי: 12:00- לקוח אחרון
שבת: 12:00- לקוח אחרון",,Y,blackbarburger.co.il,N,N,32.789711,35.007822
אישפיש,מסעדת דגים ,צפון,חיפה,שדרות הנשיא  125,04-8370737,מסעדה,דגים,"א-ה: 17:00-23:00
שישי: 12:00- לקוח אחרון
שבת: 12:00-לקוח אחרון",,N,,N,N,32.804907,34.987846
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",מרכז,פתח תקווה,ז'בוטינסקי 72 (ללא עסקיות 2eat ילדים ולילה),03-7780777,מסעדה,בשרים,"א-ה: 11:30-23:30
שישי: 11:30- שעה לפני כניסת שבת
שבת: חצי שעה מצאת השבת - 24:00",כשר,Y,blackbarburger.co.il,N,N,32.093232,34.865493
קאן קאי ,אסייתי,מרכז,ראש העין,משה דיין 2,03-9021833,מסעדה,סושי-אסייאתי,"א-ה: 10:00-22:00
שישי: 10:00-15:00
שבת: ",כשר,Y,www.kankai.co.il/,N,N,32.092798,34.966204
שווארמה אל בלד,שווארמה ,ירושלים,אבו גוש,השלום 84,02-6331717,מסעדה,"ים תיכוני,מזרחי","א-ה: 10:00-00:00
שישי: 10:00-00:00
שבת: 10:00-00:00",,Y,,N,N,31.801945,35.119531
מייקס פלייס,בר מסעדה הופעות חיות וספורט,מרכז,תל אביב - יפו,הרברט סמואל 90,03-5106392,בר-פאב,"בשרים,מקסיקני","א-ה: 08:00- לקוח אחרון
שישי: 08:00- לקוח אחרון
שבת: 08:00- לקוח אחרון",,Y,,N,N,32.077290,34.766440
מייקס פלייס ,בר מסעדה הופעות חיות וספורט,אילת,אילת,המים 1 - טיילת המלך שלמה,08-8649550,בר-פאב,"בשרים,מקסיקני","א-ה: 13:00 - לקוח אחרון
שישי: 13:00 - לקוח אחרון
שבת: 13:00 - לקוח אחרון",,Y,,N,N,29.551339,34.961188
מייקס פלייס,בר מסעדה הופעות חיות וספורט,ירושלים,ירושלים,יפו 33,02-5023439,בר-פאב,"בשרים,מקסיקני","א-ה: 12:00- לקוח אחרון
שישי: 12:00 - כניסת שבת
שבת: מצאת השבת - לקוח אחרון",כשר,Y,,N,N,31.781468,35.220536
ג'קו דגים,דגים ומאכלי ים,שרון,נתניה,גיבורי ישראל 7,09-8652878,מסעדה,דגים,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,Y,jacko.rest.co.il/,N,N,32.278243,34.860568
קפה קפה ,בית קפה מסעדה  בשרי,צפון,כרמיאל,מעלה רמון 5,04-9987865,בית קפה,"בשרים,כריכים-סלטים","א-ה: 08:00-23:00
שישי: 08:00-13:30
שבת: חצי שעה מצאת השבת",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.927547,35.324591
קפה קפה ,מסעדה,צפון,כפר כנא,כפר כנא - רחוב ראשי כניסה צפונית,04-9919185,בית קפה,"בשרים,כריכים-סלטים","א-ה: 08:00-23:00
שישי: 08:00-23:00
שבת: 08:00-23:00",,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.748198,35.343840
אינגה בר,בר מסעדה,שרון,הרצליה,גלגלי הפלדה 16,073-7592913,בר-פאב,"בשרים,כריכים-סלטים","א-ה: 18:00-02:00
שישי: 20:00-04:00
שבת: 19:00-לקוח אחרון",,Y,www.rol.co.il/sites/inga-bar,N,N,32.164920,34.809347
pankina,מסעדת שף איטלקי חלבי ודגים,מרכז,תל אביב - יפו,גורדון 39,03-6449793,מסעדה,"איטלקי,דגים,חלבי","א-ה: 12:00-00:00
שישי: 11:00- שעה לפני כניסת שבת
שבת: שעה מצאת  השבת - 00:00",כשר,Y,http://pankina.rest.co.il/,N,N,32.081936,34.773702
רוקפור,"חלבי, סושי, דגים",דרום,דימונה,הפועלים 5,08-6572010,מסעדה,"איטלקי,סושי-אסייאתי,דגים,חלבי","א-ה: 09:00-01:00
שישי: 
שבת: מצאת השבת - 01:00",כשר בדצ,Y,rokfor.rest.co.il/,N,N,31.064245,35.017385
שטרודל ,מסעדה ים  תיכוני,צפון,חיפה,בן גוריון 39,077-7004312,מסעדה,ים תיכוני,"א-ה: 09:00-00:00
שישי: 09:00-00:00
שבת: 09:00-00:00",,Y,www.shtroudl.rest.co.il/,N,N,32.819428,34.990361
פנה פסטה בר,מסעדה איטלקית,מרכז,תל אביב - יפו,בוגרשוב 21,03-5281957,מסעדה,"איטלקי,חלבי","א-ה: 09:00-00:00
שישי: 09:00-16:00
שבת: מצאת השבת - 00:00",כשר,Y,www.rol.co.il/sites/pene-pasta-bar/,N,N,32.077077,34.769694
נירוונה פרש קיטשן ,המקום המושלם על הים,צפון,חיפה,חוף נירוונה,04-8501444,מסעדה,"איטלקי,בית קפה,בשרים,דגים","א-ה: 08:00- לקוח אחרון
שישי: 08:00- לקוח אחרון
שבת: 08:00- לקוח אחרון",,Y,www.freshkitchen.co.il/branches/,N,N,32.799225,34.956003
פרש קיטשן - שוסטר,מסעדת בריאות ,מרכז,תל אביב - יפו,אחימאיר 18,03-5472548,מסעדה,"איטלקי,סושי-אסייאתי,דגים,חלבי","א-ה: 07:00-22:30
שישי: 07:00- שעה לפני כניסת שבת
שבת: חצי שעה מצאת השבת - אחרון הלקוחות",למהדרין,Y,,N,N,32.124773,34.801578
פרש קיטשן ,מסעדת בריאות ,שרון,הרצליה,השונית 2 קניון ארנה,09-8321393,מסעדה,"כריכים-סלטים,צמחוני-טבעוני","א-ה: 07:30 - לקוח אחרון
שישי: 07:30-16:30
שבת: חצי שעה מצאת השבת - לקוח אחרון",למהדרין,Y,www.freshkitchen.co.il/,N,N,32.158845,34.795996
מאפיית טאבון אלאנואר ,מאפייה ומטעמים מיוחדים שנאפים במקום,צפון,מעלות-תרשיחא,"כביש ראשי כיסרא - סמיע, שכונת חיילים משוחררים",04-6294954,מאפיה וקונדיטוריה,"ים תיכוני,מתוקים-קינוחים","א-ה: 08:00-21:30
שישי: 08:00-22:00
שבת: 08:00-22:00",,Y,,N,N,32.972320,35.298528
DEDA,חוויה גאורגית מקורית ,מרכז,בת ים, בן גוריון 61,1-700-700165,מסעדה,בשרים,"א-ה: 10:30-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",,Y,www.deda.co.il/,N,N,32.024103,34.740499
פרנג'ליקו,מסעדה אסייתית,צפון,חיפה,בן גוריון 22,04-6384480,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 12:00-לקוח אחרון
שישי: 12:00-לקוח אחרון
שבת: 12:00-לקוח אחרון",,Y,frangelicobar.com/,N,N,32.821148,34.991159
הגראז',הגראז' - הכי טוב המבורגר,מרכז,תל אביב - יפו,ראול ולנברג 24,036499600,מסעדה,"בר-פאב,בשרים","א-ה: 11:00- לקוח אחרון
שישי: 11:00- לקוח אחרון
שבת: 11:00- לקוח אחרון",,Y,www.garageburger.co.il/he/home,N,N,32.111549,34.838854
סושה,סושי בר ,מרכז,תל אביב - יפו,הרצל 12,1-700-55-10-20,מסעדה,סושי-אסייאתי,"א-ה: 11:00-01:00
שישי: 11:00-15:00
שבת: חצי שעה מצאת השבת - 01:00",כשר,Y,,N,N,32.062290,34.770119
IZ - CAFE,בית קפה חלבי - צרפתי - איטלקי ,צפון,זכרון יעקב,השמורה 2,04-6444722,בית קפה,"איטלקי,בית קפה,דגים,צרפתי","א-ה: 08:00-16:00
שישי: 08:00-13:30
שבת: ",כשר,Y,izcafe.rest.co.il/,N,N,32.565927,34.943076
אולדיס פנקיק בר ,בית פנקייק בסגנון דיינר אמריקאי,שרון,רעננה,המלאכה 2 השדרה החדשה קניון רננים,09-8849960,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 08:30-22:30
שישי: 08:30- שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 23:00",רבנות רעננה,Y,www.oldiespancake.co.il/,Y,N,32.197303,34.877858
שיפודי התקווה,מסעדת בשרים,מרכז,רמת גן,קניון איילון,03-5704242,מסעדה,בשרים,"א-ה: 11:30-23:30
שישי: 11:30-16:30
שבת: מצאת השבת - 23:00",למהדרין,Y,,N,N,32.100338,34.826772
תבליני טעם וריח חנות המפעל,חנות של תבלינים ותערובות תיבול לכל סוגי המאכלים,מרכז,פתח תקווה,גיסין 96,03-9220939,תבלינים ופיצוחים,צמחוני-טבעוני,"א-ה: 08:00 - 17:00
שישי: 
שבת: ",כשר למהדרין,N,www.tv-spices.co.il/,Y,N,32.096652,34.861418
מריולו,אוכל ביתי בשרי גריל ישראלי ודגים,דרום,אשקלון,כצנלסון 13,077-4600970,מסעדה,"בשרים,דגים,ים תיכוני","א-ה: 10:00-17:00
שישי: 
שבת: ",כשר,Y,,N,N,31.661706,34.587576
פרש קיטשן ,מסעדת בריאות,ירושלים,ירושלים,דוד רמז 4,02-5856580,מסעדה,"איטלקי,סושי-אסייאתי,דגים,חלבי","א-ה: 08:00-00:00
שישי: 08:00- שעה לפני כניסת שבת
שבת: מצאת השבת - 01:00",כשר למהדרין,Y,/www.freshkitchen.co.il,N,N,31.768974,35.224427
דים סאם שופ,מסעדה אסייתית - דיזנגוף סנטר,מרכז,תל אביב - יפו,דיזנגוף 50,03-5392977,מסעדה,"סושי-אסייאתי,צמחוני-טבעוני","א-ה: 10:00-22:00
שישי: 10:00-15:00
שבת: ",,Y,,N,N,32.075346,34.775395
איטלקיה בתחנה ,מסעדה איטלקית,מרכז,תל אביב - יפו,"נווה צדק, מתחם התחנה",03-9331922,מסעדה,"איטלקי,חלבי","א-ה: 12:00-00:00
שישי: 09:00-00:00
שבת: 10:00-00:00",,Y,www.italiantlv.co.il/,N,N,32.059037,34.761517
Black,"לא כולל עסקיות, 2eat, תפריטי ילדים, ותפריטי לילה",צפון,זכרון יעקב,קניון מול זכרון,04-6671719,מסעדה,בשרים,"א-ה: 12:00-00:00
שישי: 12:00-02:00
שבת: 11:30-01:00",,Y,blackbarburger.co.il,N,N,32.569263,34.933391
קלארו,מסעדת שף עם תפריט עכשוי ועדכני,מרכז,תל אביב - יפו,דוד אלעזר 30 - מתחם שרונה,03-6017777,מסעדה,"טאפסים,ים תיכוני","א-ה: 12:00-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",,Y,www.clarotlv.com,N,N,32.071203,34.788069
Gelato Factory,גלידה טובה ומשובחת במבחר טעמים,מרכז,תל אביב - יפו,מתחם שרונה,,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 09:00-22:00
שישי: 09:00-22:00
שבת: 09:00-22:00",,Y,,N,N,32.071399,34.786576
קפה קפה ,בית קפה מסעדה,צפון,שדי תרומות,צומת רוויה עמק המעיינות,04-6584648,בית קפה,"איטלקי,בית קפה","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 23:30",כשר למהדרין,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.440898,35.484204
קפה קפה ,בית קפה מסעדה חלבי ,צפון,טבריה,יהודה הלוי 1,04-6723400,בית קפה,"איטלקי,חלבי,כריכים-סלטים","א-ה: 08:30-22:00
שישי: 08:30-13:30
שבת: מצאת השבת - 23:00",כשר למהדרין,Y,www.cafecafe.co.il/he/home/a/main/,N,N,32.790512,35.533797
קפה נמרוד,בית קפה מסעדה חלבי,צפון,יסוד המעלה,גליליון מרקט צמת כח,04-8716407,בית קפה,"בית קפה,חלבי,כריכים-סלטים","א-ה: 09:00-23:00
שישי: 09:00-23:00
שבת: 08:00-00:00",,Y,www.cafenimrod.com/,N,N,33.115621,35.573585
